```
library TransplantDrugTherapy
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmountAmount:
