```
@prefix : <https://www.example.com/> .
:FullHealthCoverage :hasCoverageExclusions :CoverageExclusions .

:CoverageExclusions a :List .

:CoverageExclusions :hasItem :Exclusion1 .
:CoverageExclusions :hasItem :Exclusion2 .
:CoverageExclusions :hasItem :Exclusion3 .

:Exclusion1 a :Exclusion .
:Exclusion2 a :Exclusion .
:Exclusion3 a :Exclusion .

:Exclusion1 :hasDescription "Exclusion 1" .
:Exclusion2 :hasDescription "Exclusion 2" .
:Exclusion3 :hasDescription "Exclusion 3" .

:Medicare :hasCoverageConditions :CoverageConditions .
:MedicareDrugCoverage :hasCoverageConditions :CoverageConditions .
:Benefit :hasCoverageConditions :CoverageConditions .
:FullHealthCoverage :hasCoverageConditions :CoverageConditions .

:CoverageConditions a :List .

:CoverageConditions :hasItem :Condition1 .
:CoverageConditions :hasItem :Condition2 .
:CoverageConditions :hasItem :Condition3 .

:Condition1 a :Condition .
:Condition2 a :Condition .
:Condition3 a :Condition .

:Condition1 :hasDescription "Condition 1" .
:Condition2 :hasDescription "Condition 2" .
:Condition3 :hasDescription "Condition 3" .

:Medicare :hasCoverageExceptions :CoverageExceptions .
:MedicareDrugCoverage :hasCoverageExceptions :CoverageExceptions .
:Benefit :hasCoverageExceptions :CoverageExceptions .
:FullHealthCoverage :hasCoverageExceptions :CoverageExceptions .

:CoverageExceptions a :List .

:CoverageExceptions :hasItem :Exception1 .
:CoverageExceptions :hasItem :Exception2 .
:CoverageExceptions :hasItem :Exception3 .

:Exception1 a :Exception .
:Exception2 a :Exception .
:Exception3 a :Exception .

:Exception1 :hasDescription "Exception 1" .
:Exception2 :hasDescription "Exception 2" .
:Exception3 :hasDescription "Exception 3" .

:Medicare :hasCoverageLimits :CoverageLimits .
:MedicareDrugCoverage :hasCoverageLimits :CoverageLimits .
:Benefit :hasCoverageLimits :CoverageLimits .
:FullHealthCoverage :hasCoverageLimits :CoverageLimits .

:CoverageLimits a :List .

:CoverageLimits :hasItem :Limit1 .
:CoverageLimits :hasItem :Limit2 .
:CoverageLimits :hasItem :Limit3 .

:Limit1 a :Limit .
:Limit2 a :Limit .
:Limit3 a :Limit .

:Limit1 :hasDescription "Limit 1" .
:Limit2 :hasDescription "Limit 2" .
:Limit3 :hasDescription "Limit 3" .

:Medicare :hasCoverageExclusions :CoverageExclusions .
:MedicareDrugCoverage :hasCoverageExclusions :CoverageExclusions .
:Benefit :hasCoverageExclusions :CoverageExclusions .
:FullHealthCoverage :hasCoverageExclusions :CoverageExclusions .

:CoverageExclusions a :List .

:CoverageExclusions :hasItem :Exclusion1 .
:CoverageExclusions :hasItem :Exclusion2 .
:CoverageExclusions :hasItem :Exclusion3 .

:Exclusion1 a :Exclusion .
:Exclusion2 a :Exclusion .
:Exclusion3 a :Exclusion .

:Exclusion1 :hasDescription "Exclusion 1" .
:Exclusion2 :hasDescription "Exclusion 2" .
:Exclusion3 :hasDescription "Exclusion 3" .

:Medicare :hasCoverageConditions :CoverageConditions .
:MedicareDrugCoverage :hasCoverageConditions :CoverageConditions .
:Benefit :hasCoverageConditions :CoverageConditions .
:FullHealthCoverage :hasCoverageConditions :CoverageConditions .

:CoverageConditions a :List .

:CoverageConditions :hasItem :Condition1 .
:CoverageConditions :hasItem :Condition2 .
:CoverageConditions :hasItem :Condition3 .

:Condition1 a :Condition .
:Condition2 a :Condition .
:Condition3 a :Condition .

:Condition1 :hasDescription "Condition 1" .
:Condition2 :hasDescription "Condition 2" .
:Condition3 :hasDescription "Condition 3" .

:Medicare :hasCoverageExceptions :CoverageExceptions .
:MedicareDrugCoverage :hasCoverageExceptions :CoverageExceptions .
:Benefit :hasCoverageExceptions :CoverageExceptions .
:FullHealthCoverage :hasCoverageExceptions :CoverageExceptions .

:CoverageExceptions a :List .

:CoverageExceptions :hasItem :Exception1 .
:CoverageExceptions :hasItem :Exception2 .
:CoverageExceptions :hasItem :Exception3 .

:Exception1 a :Exception .
:Exception2 a :Exception .
:Exception3 a :Exception .

:Exception1 :hasDescription "Exception 1" .
:Exception2 :hasDescription "Exception 2" .
:Exception3 :hasDescription "Exception 3" .

:Medicare :hasCoverageLimits :CoverageLimits .
:MedicareDrugCoverage :hasCoverageLimits :CoverageLimits .
:Benefit :hasCoverageLimits :CoverageLimits .
:FullHealthCoverage :hasCoverageLimits :CoverageLimits .

:CoverageLimits a :List .

:CoverageLimits :hasItem :Limit1 .
:CoverageLimits :hasItem :Limit2 .
:CoverageLimits :hasItem :Limit3 .

:Limit1 a :Limit .
:Limit2 a :Limit .
:Limit3 a :Limit .

:Limit1 :hasDescription "Limit 1" .
:Limit2 :hasDescription "Limit 2" .
:Limit3 :hasDescription "Limit 3" .

:Medicare :hasCoverageExclusions :CoverageExclusions .
:MedicareDrugCoverage :hasCoverageExclusions :CoverageExclusions .
:Benefit :hasCoverageExclusions :CoverageExclusions .
:FullHealthCoverage :hasCoverageExclusions :CoverageExclusions .

:CoverageExclusions a :List .

:CoverageExclusions :hasItem :Exclusion1 .
:CoverageExclusions :hasItem :Exclusion2 .
:CoverageExclusions :hasItem :Exclusion3 .

:Exclusion1 a :Exclusion .
:Exclusion2 a :Exclusion .
:Exclusion3 a :Exclusion .

:Exclusion1 :hasDescription "Exclusion 1" .
:Exclusion2 :hasDescription "Exclusion 2" .
:Exclusion3 :hasDescription "Exclusion 3" .

:Medicare :hasCoverageConditions :CoverageConditions .
:MedicareDrugCoverage :hasCoverageConditions :CoverageConditions .
:Benefit :hasCoverageConditions :CoverageConditions .
:FullHealthCoverage :hasCoverageConditions :CoverageConditions .

:CoverageConditions a :List .

:CoverageConditions :hasItem :Condition1 .
:CoverageConditions :hasItem :Condition2 .
:CoverageConditions :hasItem :Condition3 .

:Condition1 a :Condition .
:Condition2 a :Condition .
:Condition3 a :Condition .

:Condition1 :hasDescription "Condition 1" .
:Condition2 :hasDescription "Condition 2" .
:Condition3 :hasDescription "Condition 3" .

:Medicare :hasCoverageExceptions :CoverageExceptions .
:MedicareDrugCoverage :hasCoverageExceptions :CoverageExceptions .
:Benefit :hasCoverageExceptions :CoverageExceptions .
:FullHealthCoverage :hasCoverageExceptions :CoverageExceptions .

:CoverageExceptions a :List .

:CoverageExceptions :hasItem :Exception1 .
:CoverageExceptions :hasItem :Exception2 .
:CoverageExceptions :hasItem :Exception3 .

:Exception1 a :Exception .
:Exception2 a :Exception .
:Exception3 a :Exception .

:Exception1 :hasDescription "Exception 1" .
:Exception2 :hasDescription "Exception 2" .
:Exception3 :hasDescription "Exception 3" .

:Medicare :hasCoverageLimits :CoverageLimits .
:MedicareDrugCoverage :hasCoverageLimits :CoverageLimits .
:Benefit :hasCoverageLimits :CoverageLimits .
:FullHealthCoverage :hasCoverageLimits :CoverageLimits .

:CoverageLimits a :List .

:CoverageLimits :hasItem :Limit1 .
:CoverageLimits :hasItem :Limit2 .
:CoverageLimits :hasItem :Limit3 .

:Limit1 a :Limit .
:Limit2 a :Limit .
:Limit3 a :Limit .

:Limit1 :hasDescription "Limit 1" .
:Limit2 :hasDescription "Limit 2" .
:Limit3 :hasDescription "Limit 3" .

:Medicare :hasCoverageExclusions :CoverageExclusions .
:MedicareDrugCoverage :hasCoverageExclusions :CoverageExclusions .
:Benefit :hasCoverageExclusions :CoverageExclusions .
:FullHealthCoverage :hasCoverageExclusions :CoverageExclusions .

:CoverageExclusions a :List .

:CoverageExclusions :hasItem :Exclusion1 .
:CoverageExclusions :hasItem :Exclusion2 .
:CoverageExclusions :hasItem :Exclusion3 .

:Exclusion1 a :Exclusion .
:Exclusion2 a :Exclusion .
:Exclusion3 a :Exclusion .

:Exclusion1 :hasDescription "Exclusion 1" .
:Exclusion2 :hasDescription "Exclusion 2" .
:Exclusion3 :hasDescription "Exclusion 3" .

:Medicare :hasCoverageConditions :CoverageConditions .
:MedicareDrugCoverage :hasCoverageConditions :CoverageConditions .
:Benefit :hasCoverageConditions :CoverageConditions .
:FullHealthCoverage :hasCoverageConditions :CoverageConditions .

:CoverageConditions a :List .

:CoverageConditions :hasItem :Condition1 .
:CoverageConditions :hasItem :Condition2 .
:CoverageConditions :hasItem :Condition3 .

:Condition1 a :Condition .
:Condition2 a :Condition .
:Condition3 a :Condition .

:Condition1 :hasDescription "Condition 1" .
:Condition2 :hasDescription "Condition 2" .
:Condition3 :hasDescription "Condition 3" .

:Medicare :hasCoverageExceptions :CoverageExceptions .
:MedicareDrugCoverage :hasCoverageExceptions :CoverageExceptions .
:Benefit :hasCoverageExceptions :CoverageExceptions .
:FullHealthCoverage :hasCoverageExceptions :CoverageExceptions .

:CoverageExceptions a :List .

:CoverageExceptions :hasItem :Exception1 .
:CoverageExceptions :hasItem :Exception2 .
:CoverageExceptions :hasItem :Exception3 .

:Exception1 a :Exception .
:Exception2 a :Exception .
:Exception3 a :Exception .

:Exception1 :hasDescription "Exception 1" .
:Exception2 :hasDescription "Exception 2" .
:Exception3 :hasDescription "Exception 3" .

:Medicare :hasCoverageLimits :CoverageLimits .
:MedicareDrugCoverage :hasCoverageLimits :CoverageLimits .
:Benefit :hasCoverageLimits :CoverageLimits .
:FullHealthCoverage :hasCoverageLimits :CoverageLimits .

:CoverageLimits a :List .

:CoverageLimits :hasItem :Limit1 .
:CoverageLimits :hasItem :Limit2 .
:CoverageLimits :hasItem :Limit3 .

:Limit1 a :Limit .
:Limit2 a :Limit .
:Limit3 a :Limit .

:Limit1 :hasDescription "Limit 1" .
:Limit2 :hasDescription "Limit 2" .
:Limit3 :hasDescription "Limit 3" .

:Medicare :hasCoverageExclusions :CoverageExclusions .
:MedicareDrugCoverage :hasCoverageExclusions :CoverageExclusions .
:Benefit :hasCoverageExclusions :CoverageExclusions .
:FullHealthCoverage :hasCoverageExclusions :CoverageExclusions .

:CoverageExclusions a :List .

:CoverageExclusions :hasItem :Exclusion1 .
:CoverageExclusions :hasItem :Exclusion2 .
:CoverageExclusions :hasItem :Exclusion3 .

:Exclusion1 a :Exclusion .
:Exclusion2 a :Exclusion .
:Exclusion3 a :Exclusion .

:Exclusion1 :hasDescription "Exclusion 1" .
:Exclusion2 :hasDescription "Exclusion 2" .
:Exclusion3 :hasDescription "Exclusion 3" .

:Medicare :hasCoverageConditions :CoverageConditions .
:MedicareDrugCoverage :hasCoverageConditions :CoverageConditions .
:Benefit :hasCoverageConditions :CoverageConditions .
:FullHealthCoverage :hasCoverageConditions :CoverageConditions .

:CoverageConditions a :List .

:CoverageConditions :hasItem :Condition1 .
:CoverageConditions :hasItem :Condition2 .
:CoverageConditions :hasItem :Condition3 .

:Condition1 a :Condition .
:Condition2 a :Condition .
:Condition3 a :Condition .

:Condition1 :hasDescription "Condition 1" .
:Condition2 :hasDescription "Condition 2" .
:Condition3 :hasDescription "Condition 3" .

:Medicare :hasCoverageExceptions :CoverageExceptions .
:MedicareDrugCoverage :hasCoverageExceptions :CoverageExceptions .
:Benefit :hasCoverageExceptions :CoverageExceptions .
:FullHealthCoverage :hasCoverageExceptions :CoverageExceptions .

:CoverageExceptions a :List .

:CoverageExceptions :hasItem :Exception1 .
:CoverageExceptions :hasItem :Exception2 .
:CoverageExceptions :hasItem :Exception3 .

:Exception1 a :Exception .
:Exception2 a :Exception .
:Exception3 a :Exception .

:Exception1 :hasDescription "Exception 1" .
:Exception2 :hasDescription "Exception 2" .
:Exception3 :hasDescription "Exception 3" .

:Medicare :hasCoverageLimits :CoverageLimits .
:MedicareDrugCoverage :hasCoverageLimits :CoverageLimits .
:Benefit :hasCoverageLimits :CoverageLimits .
:FullHealthCoverage :hasCoverageLimits :CoverageLimits .

:CoverageLimits a :List .

:CoverageLimits :hasItem :Limit1 .
:CoverageLimits :hasItem :Limit2 .
:CoverageLimits :hasItem :Limit3 .

:Limit1 a :Limit .
:Limit2 a :Limit .
:Limit3 a :Limit .

:Limit1 :hasDescription "Limit 1" .
:Limit2 :hasDescription "Limit 2" .
:Limit3 :hasDescription "Limit 3" .

:Medicare :hasCoverageExclusions :CoverageExclusions .
:MedicareDrugCoverage :hasCoverageExclusions :CoverageExclusions .
:Benefit :hasCoverageExclusions :CoverageExclusions .
:FullHealthCoverage :hasCoverageExclusions :CoverageExclusions .

:CoverageExclusions a :List .

:CoverageExclusions :hasItem :Exclusion1 .
:CoverageExclusions :hasItem :Exclusion2 .
:CoverageExclusions :hasItem :Exclusion3 .

:Exclusion1 a :Exclusion .
:Exclusion2 a :Exclusion .
:Exclusion3 a :Exclusion .

:Exclusion1 :hasDescription "Exclusion 1" .
:Exclusion2 :hasDescription "Exclusion 2" .
:Exclusion3 :hasDescription "Exclusion 3" .

:Medicare :hasCoverageConditions :CoverageConditions .
:MedicareDrugCoverage :hasCoverageConditions :CoverageConditions .
:Benefit :hasCoverageConditions :CoverageConditions .
:FullHealthCoverage :hasCoverageConditions :CoverageConditions .

:CoverageConditions a :List .

:CoverageConditions :hasItem :Condition1 .
:CoverageConditions :hasItem :Condition2 .
:CoverageConditions :hasItem :Condition3 .

:Condition1 a :Condition .
:Condition2 a :Condition .
:Condition3 a :Condition .

:Condition1 :hasDescription "Condition 1" .
:Condition2 :hasDescription "Condition 2" .
:Condition3 :hasDescription "Condition 3" .

:Medicare :hasCoverageExceptions :CoverageExceptions .
:MedicareDrugCoverage :hasCoverageExceptions :CoverageExceptions .
:Benefit :hasCoverageExceptions :CoverageExceptions .
:FullHealthCoverage :hasCoverageExceptions :CoverageExceptions .

:CoverageExceptions a :List .

:CoverageExceptions :hasItem :Exception1 .
:CoverageExceptions :hasItem :Exception2 .
:CoverageExceptions :hasItem :Exception3 .

:Exception1 a :Exception .
:Exception2 a :Exception .
:Exception3 a :Exception .

:Exception1 :hasDescription "Exception 1" .
:Exception2 :hasDescription "Exception 2" .
:Exception3 :hasDescription "Exception 3" .

:Medicare :hasCoverageLimits :CoverageLimits .
:MedicareDrugCoverage :hasCoverageLimits :CoverageLimits .
:Benefit :hasCoverageLimits :CoverageLimits .
:FullHealthCoverage :hasCoverageLimits :CoverageLimits .

:CoverageLimits a :List .

:CoverageLimits :hasItem :Limit1 .
:CoverageLimits :hasItem :Limit2 .
:CoverageLimits :hasItem :Limit3 .

:Limit1 a :Limit .
:Limit2 a :Limit .
:Limit3 a :Limit .

:Limit1 :hasDescription "Limit 1" .
:Limit2 :hasDescription "Limit 2" .
:Limit3 :hasDescription "Limit 3" .

:Medicare :hasCoverageExclusions :CoverageExclusions .
:MedicareDrugCoverage :hasCoverageExclusions :CoverageExclusions .
:Benefit :hasCoverageExclusions :CoverageExclusions .
:FullHealthCoverage :hasCoverageExclusions :CoverageExclusions .

:CoverageExclusions a :List .

:CoverageExclusions :hasItem :Exclusion1 .
:CoverageExclusions :hasItem :Exclusion2 .
:CoverageExclusions :hasItem :Exclusion3 .

:Exclusion1 a :Exclusion .
:Exclusion2 a :Exclusion .
:Exclusion3 a :Exclusion .

:Exclusion1 :hasDescription "Exclusion 1" .
:Exclusion2 :hasDescription "Exclusion 2" .
:Exclusion3 :hasDescription "Exclusion 3" .

:Medicare :hasCoverageConditions :CoverageConditions .
:MedicareDrugCoverage :hasCoverageConditions :CoverageConditions .
:Benefit :hasCoverageConditions :CoverageConditions .
:FullHealthCoverage :hasCoverageConditions :CoverageConditions .

:CoverageConditions a :List .

:CoverageConditions :hasItem :Condition1 .
:CoverageConditions :hasItem :Condition2 .
:CoverageConditions :hasItem :Condition3 .

:Condition1 a :Condition .
:Condition2 a :Condition .
:Condition3 a :Condition .

:Condition1 :hasDescription "Condition 1" .
:Condition2 :hasDescription "Condition 2" .
:Condition3 :hasDescription "Condition 3" .

:Medicare :hasCoverageExceptions :CoverageExceptions .
:MedicareDrugCoverage :hasCoverageExceptions :CoverageExceptions .
:Benefit :hasCoverageExceptions :CoverageExceptions .
:FullHealthCoverage :hasCoverageExceptions :CoverageExceptions .

:CoverageExceptions a :List .

:CoverageExceptions :hasItem :Exception1 .
:CoverageExceptions :hasItem :Exception2 .
:CoverageExceptions :hasItem :Exception3 .

:Exception1 a :Exception .
:Exception2 a :Exception .
:Exception3 a :Exception .

:Exception1 :hasDescription "Exception 1" .
:Exception2 :hasDescription "Exception 2" .
:Exception3 :hasDescription "Exception 3" .

:Medicare :hasCoverageLimits :CoverageLimits .
:MedicareDrugCoverage :hasCoverageLimits :CoverageLimits .
:Benefit :hasCoverageLimits :CoverageLimits .
:FullHealthCoverage :hasCoverageLimits :CoverageLimits .

:CoverageLimits a :List .

:CoverageLimits :hasItem :Limit1 .
:CoverageLimits :hasItem :Limit2 .
:CoverageLimits :hasItem :Limit3 .

:Limit1 a :Limit .
:Limit2 a :Limit .
:Limit3 a :Limit .

:Limit1 :hasDescription "Limit 1" .
:Limit2 :hasDescription "Limit 2" .
:Limit3 :hasDescription "Limit 3" .

:Medicare :hasCoverageExclusions :CoverageExclusions .
:MedicareDrugCoverage :hasCoverageExclusions :CoverageExclusions .
:Benefit :hasCoverageExclusions :CoverageExclusions .
:FullHealthCoverage :hasCoverageExclus
